,ticker,date,time,title,compound
0,TSLA,2022-06-05,12:10PM  ,Dow Jones Futures Due: Market Rally Looks To Rebound; Apple News On Tap,0.0
1,TSLA,2022-06-05,10:26AM  ,Dow Jones Futures: Market Rally Looks To Rebound From Key Levels; Apple News On Tap,0.0
2,TSLA,2022-06-05,10:24AM  ,Tesla Stock Vs. BYD Stock: Musk 'Super Bad' Warning Hits Tesla; EV Rival Races As Sales Hit High,-0.25
3,TSLA,2022-06-05,12:30AM  ,Energy & Precious Metals - Weekly Review and Outlook,0.7003
4,TSLA,2022-06-04,06:54PM  ,"UPDATE 1-Musk backtracks on job cuts, says Tesla salaried staff to be 'fairly flat'",-0.296
5,TSLA,2022-06-04,05:38PM  ,"Musk backtracks on job cuts, says Tesla salaried staff to be 'fairly flat'",-0.296
6,TSLA,2022-06-04,05:34PM  ,Musk says Tesla's total headcount will increase over next 12 months,0.3182
7,TSLA,2022-06-04,05:19PM  ,"Dow Jones Futures: What To Do As Market Rally Falls, Holds Key Levels; Apple News On Tap",0.0
8,TSLA,2022-06-04,03:00PM  ,Elon Musk Has an Original Idea to End Manager-Worker Divisions,0.3182
9,TSLA,2022-06-04,10:49AM  ,Why Tesla Stock Dropped 13% in May and Didn't Stop There,0.2235
10,TSLA,2022-06-04,10:26AM  ,Should Investors Be Worried About Tesla?,-0.296
11,TSLA,2022-06-04,07:00AM  ,What can CEOs see that we're missing?: Morning Brief,0.0
12,TSLA,2022-06-04,05:00AM  ,Tech and crypto firms experienced massive layoffs in May. Heres how bad it really is,-0.5423
13,TSLA,2022-06-04,02:14AM  ,Tesla's Employees Ordered to Return to Office,0.0
14,TSLA,2022-06-04,12:03AM  ,Rivians Great EV Expectations Meet the Harsh Reality of Manufacturing,0.296
15,TSLA,2022-06-03,06:56PM  ,10 Tech Stocks Making Headlines on Friday,0.0
16,TSLA,2022-06-03,04:44PM  ,"U.S. auto sales have reached 'recessionary levels,' new report states",0.1027
17,TSLA,2022-06-03,04:43PM  ,"Musk Seeks Tesla Job Cuts, But This 'Elephant In The Room' Remains",-0.1531
18,TSLA,2022-06-03,04:40PM  ,Why the 2023 Chevrolet Bolt is the cheapest EV in America,0.0
19,TSLA,2022-06-03,04:36PM  ,President Biden reacts to Elon Musk's comments about the U.S. economy,0.0
